http://statistics.gov.scot/def/education/refEstablishment,Reference Establishment,Academic year 2015-16,Academic year 2016-17,Academic year 2017-18,Academic year 2018-19,Academic year 2019-20,Academic year 2020-21,Academic year 2021-22
http://statistics.gov.scot/id/education/establishment/8300135,St Peter the Apostle High School,62,65,77,70,71,67,65
http://statistics.gov.scot/id/education/establishment/8438838,St Thomas Aquinas Secondary School,57,61,69,72,62,71,65
http://statistics.gov.scot/id/education/establishment/5119839,Tain Royal Academy,65,58,58,57,53,67,65
http://statistics.gov.scot/id/education/establishment/5509238,Armadale Academy,58,61,66,65,66,67,64
http://statistics.gov.scot/id/education/establishment/6103332,Brae High School,75,*,77,64,68,69,64
http://statistics.gov.scot/id/education/establishment/8517738,Coltness High School,66,72,58,58,65,57,64
http://statistics.gov.scot/id/education/establishment/5532736,Forrester High School,32,41,42,51,59,57,64
http://statistics.gov.scot/id/education/establishment/8223831,Loudoun Academy,75,81,71,71,71,68,64
http://statistics.gov.scot/id/education/establishment/8236836,Prestwick Academy,67,74,84,78,76,78,64
http://statistics.gov.scot/id/education/establishment/5447232,Beath High School,55,56,45,62,64,65,63
http://statistics.gov.scot/id/education/establishment/5426332,Bell Baxter High School,68,69,68,72,74,72,63
http://statistics.gov.scot/id/education/establishment/5143934,Culloden Academy,60,64,62,66,60,59,63
http://statistics.gov.scot/id/education/establishment/8517134,Our Lady's High School - Motherwell,69,62,69,59,71,61,63
http://statistics.gov.scot/id/education/establishment/5534534,Trinity Academy,70,74,69,72,77,67,63
http://statistics.gov.scot/id/education/establishment/5902932,Douglas Ewart High School,52,58,50,47,50,63,62
http://statistics.gov.scot/id/education/establishment/5532531,Drummond Community High School,34,32,46,55,*,57,62
http://statistics.gov.scot/id/education/establishment/5203031,Forres Academy,59,56,60,67,61,67,62
http://statistics.gov.scot/id/education/establishment/5208831,Keith Grammar School,61,51,59,65,68,70,62
http://statistics.gov.scot/id/education/establishment/6002730,Kirkwall Grammar School,60,*,63,62,56,59,62
http://statistics.gov.scot/id/education/establishment/5135931,Lochaber High School,61,62,67,67,62,69,62
http://statistics.gov.scot/id/education/establishment/5533538,Portobello High School,72,75,71,65,68,73,62
